Местное время,Населенный пункт,type_id,T,P,U,DD,Ff,N,WW,Cl,Cm,Nh
2021-04-14,Ялуторовск,5,19.3,770.8,39.0,"Ветер, дующий с запада",5.0,100%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-14,Тюмень,1,19.4,770.4,35.0,"Ветер, дующий с западо-юго-запада",5.0,100%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-14,Вагай,1,18.9,768.3,31.0,"Ветер, дующий с запада",4.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-14,Ишим,1,16.3,770.9,45.0,"Ветер, дующий с западо-юго-запада",7.0,100%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-15,Вагай,5,22.1,762.8,19.0,"Ветер, дующий с западо-юго-запада",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-04-15,Ишим,5,22.5,765.6,23.0,"Ветер, дующий с западо-юго-запада",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-04-15,Ишим,1,22.5,765.6,23.0,"Ветер, дующий с западо-юго-запада",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-04-15,Вагай,1,22.1,762.8,19.0,"Ветер, дующий с западо-юго-запада",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-04-15,Вагай,3,22.1,762.8,19.0,"Ветер, дующий с западо-юго-запада",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-04-16,Вагай,1,8.5,767.5,26.0,"Ветер, дующий с северо-запада",6.0,60%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2021-04-16,Ишим,1,10.1,766.2,43.0,"Ветер, дующий с севера",4.0,100%.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-16,Ишим,5,10.1,766.2,43.0,"Ветер, дующий с севера",4.0,100%.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-16,Тюмень,1,10.2,768.9,24.0,"Ветер, дующий с северо-северо-запада",4.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-16,Ялуторовск,1,10.7,768.1,29.0,"Ветер, дующий с северо-северо-востока",6.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-17,Ишим,5,9.3,767.5,30.0,"Ветер, дующий с юго-юго-запада",5.0,"10%  или менее, но не 0", ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-17,Ялуторовск,1,11.6,766.6,21.0,"Ветер, дующий с запада",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-04-17,Тюмень,1,12.0,766.0,20.0,"Ветер, дующий с западо-юго-запада",5.0,40%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.",20–30%.
2021-04-17,Ишим,4,9.3,767.5,30.0,"Ветер, дующий с юго-юго-запада",5.0,"10%  или менее, но не 0", ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-18,Ишим,5,2.8,760.3,74.0,"Ветер, дующий с северо-северо-запада",6.0,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",100%.
2021-04-18,Ишим,1,2.8,760.3,74.0,"Ветер, дующий с северо-северо-запада",6.0,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",100%.
2021-04-19,Ишим,5,-1.1,773.2,32.0,"Ветер, дующий с северо-северо-запада",4.0,"90  или более, но не 100%", ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","90  или более, но не 100%"
2021-04-19,Вагай,3,-1.5,773.3,31.0,"Ветер, дующий с севера",4.0,60%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2021-04-19,Ишим,4,-1.1,773.2,32.0,"Ветер, дующий с северо-северо-запада",4.0,"90  или более, но не 100%", ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","90  или более, но не 100%"
2021-04-19,Ишим,1,-1.1,773.2,32.0,"Ветер, дующий с северо-северо-запада",4.0,"90  или более, но не 100%", ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","90  или более, но не 100%"
2021-04-20,Ишим,4,3.4,771.7,25.0,"Ветер, дующий с запада",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-04-20,Ишим,3,3.4,771.7,25.0,"Ветер, дующий с запада",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-04-20,Ишим,1,3.4,771.7,25.0,"Ветер, дующий с запада",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-04-20,Вагай,1,5.4,767.8,27.0,"Ветер, дующий с запада",6.0,"90  или более, но не 100%", ,"Слоисто-кучевые, образовавшиеся из кучевых.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","90  или более, но не 100%"
2021-04-20,Ялуторовск,1,7.7,771.1,20.0,"Ветер, дующий с запада",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-04-20,Тюмень,1,8.7,770.5,18.0,"Ветер, дующий с западо-юго-запада",5.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-20,Ишим,5,3.4,771.7,25.0,"Ветер, дующий с запада",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-04-21,Ишим,1,9.9,771.4,30.0,"Ветер, дующий с севера",4.0,"10%  или менее, но не 0", ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2021-04-21,Ишим,5,9.9,771.4,30.0,"Ветер, дующий с севера",4.0,"10%  или менее, но не 0", ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2021-04-21,Ишим,3,9.9,771.4,30.0,"Ветер, дующий с севера",4.0,"10%  или менее, но не 0", ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2021-04-21,Тюмень,1,13.8,772.4,25.0,"Ветер, дующий с севера",3.0,"90  или более, но не 100%", ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","90  или более, но не 100%"
2021-04-22,Вагай,1,8.8,779.4,29.0,"Ветер, дующий с юго-востока",5.0,Облаков нет.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-04-22,Ишим,1,8.8,780.8,25.0,"Ветер, дующий с юго-юго-востока",4.0,40%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-22,Ишим,3,8.8,780.8,25.0,"Ветер, дующий с юго-юго-востока",4.0,40%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-22,Ялуторовск,1,13.8,777.4,31.0,"Ветер, дующий с юго-юго-востока",6.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2020-04-12,Ишим,5,15.4,761.5,32.0,"Ветер, дующий с востоко-юго-востока",4.0,"90  или более, но не 100%", ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",50%.
2020-04-13,Ишим,1,15.7,757.2,32.0,"Ветер, дующий с юго-запада",5.0,70 – 80%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-04-23,Ишим,1,12.0,779.0,23.0,"Ветер, дующий с юга",6.0,100%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","10%  или менее, но не 0"
2021-04-23,Ишим,3,12.0,779.0,23.0,"Ветер, дующий с юга",6.0,100%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","10%  или менее, но не 0"
2021-04-23,Вагай,1,14.2,776.1,28.0,"Ветер, дующий с юга",5.0,100%.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-24,Ишим,1,12.9,772.8,17.0,"Ветер, дующий с юга",5.0,40%.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-24,Уват,4,14.2,771.3,23.0,"Ветер, дующий с юго-запада",3.0,"90  или более, но не 100%", ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-24,Вагай,1,12.8,772.0,21.0,"Ветер, дующий с юго-юго-востока",4.0,100%.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-24,Ишим,3,12.9,772.8,17.0,"Ветер, дующий с юга",5.0,40%.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-25,Тюмень,1,13.9,762.0,30.0,"Ветер, дующий с юго-юго-востока",4.0,100%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",100%.
2021-04-25,Вагай,1,13.8,765.1,17.0,"Ветер, дующий с востоко-юго-востока",4.0,100%.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ","Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-27,Ялуторовск,1,16.0,757.3,14.0,"Ветер, дующий с юго-запада",6.0,70 – 80%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-27,Ишим,1,15.4,758.5,16.0,"Ветер, дующий с западо-юго-запада",6.0,100%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-27,Вагай,1,15.1,756.4,22.0,"Ветер, дующий с юго-запада",4.0,70 – 80%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2021-04-28,Ишим,1,18.2,757.0,20.0,"Ветер, дующий с юго-запада",8.0,40%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2021-04-28,Ишим,4,18.2,757.0,20.0,"Ветер, дующий с юго-запада",8.0,40%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
2021-04-28,Тюмень,1,15.1,756.1,26.0,"Ветер, дующий с юго-запада",5.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",40%.
2021-04-29,Вагай,3,11.2,754.5,29.0,"Ветер, дующий с запада",6.0,70 – 80%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-04-29,Ишим,3,12.4,756.6,26.0,"Ветер, дующий с запада",6.0,70 – 80%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-04-30,Тюмень,1,7.6,761.2,70.0,"Ветер, дующий с запада",4.0,70 – 80%.,Ливневый(ые) дождь(и). ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевые просвечивающие, расположенные на одном уровне.",40%.
2021-05-01,Ишим,1,12.4,769.2,15.0,"Ветер, дующий с северо-запада",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-05-01,Вагай,1,10.9,767.5,18.0,"Ветер, дующий с запада",4.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-01,Тюмень,1,13.9,767.4,20.0,"Ветер, дующий с юга",5.0,70 – 80%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.","10%  или менее, но не 0"
2021-05-01,Вагай,5,10.9,767.5,18.0,"Ветер, дующий с запада",4.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-01,Ишим,3,12.4,769.2,15.0,"Ветер, дующий с северо-запада",5.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2021-05-02,Вагай,1,20.0,757.6,21.0,"Ветер, дующий с западо-юго-запада",7.0,"90  или более, но не 100%", ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевые просвечивающие, расположенные на одном уровне.",70 – 80%.
2021-05-02,Ишим,4,22.3,761.8,17.0,"Ветер, дующий с юго-запада",12.0,100%., ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",50%.
2021-05-02,Вагай,3,20.0,757.6,21.0,"Ветер, дующий с западо-юго-запада",7.0,"90  или более, но не 100%", ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевые просвечивающие, расположенные на одном уровне.",70 – 80%.
2021-05-03,Вагай,1,12.4,763.3,21.0,"Ветер, дующий с северо-запада",5.0,70 – 80%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-05-03,Ишим,4,14.7,763.5,27.0,"Ветер, дующий с западо-северо-запада",4.0,70 – 80%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",50%.
2021-05-03,Вагай,3,12.4,763.3,21.0,"Ветер, дующий с северо-запада",5.0,70 – 80%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",70 – 80%.
2021-05-03,Ишим,1,14.7,763.5,27.0,"Ветер, дующий с западо-северо-запада",4.0,70 – 80%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",50%.
2021-05-03,Ялуторовск,1,14.3,764.5,19.0,"Ветер, дующий с северо-запада",4.0,20–30%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2021-05-04,Ишим,1,17.2,764.7,25.0,"Ветер, дующий с юга",8.0,"90  или более, но не 100%", ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","90  или более, но не 100%"
2021-05-04,Вагай,3,16.6,761.2,24.0,"Ветер, дующий с юго-юго-запада",7.0,60%.,Состояние неба в общем не изменилось. ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.",60%.
2021-05-05,Ишим,1,24.4,754.6,17.0,"Ветер, дующий с юга",6.0,100%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.",60%.
2021-05-05,Вагай,3,26.4,752.2,16.0,"Ветер, дующий с юга",7.0,60%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-05,Вагай,1,26.4,752.2,16.0,"Ветер, дующий с юга",7.0,60%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-05,Ялуторовск,1,27.2,752.0,18.0,"Ветер, дующий с юга",7.0,70 – 80%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-05-06,Ишим,1,17.9,753.2,24.0,"Ветер, дующий с запада",6.0,"10%  или менее, но не 0", ,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","10%  или менее, но не 0"
